[22Sep2026 20:38:57.923] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "entity_texture_features_1.21-neoforge-7.1.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.924] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "entityculling-neoforge-1.10.5-mc1.21.1.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.927] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "explosionoverhaul-0.2.3.0-neoforge.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.929] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FarmersDelight-1.21.1-1.3.2.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.934] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ferritecore-7.0.3-neoforge.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.935] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "firstperson-neoforge-2.7.2-mc1.21.1.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.937] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "flyhigher-1.21.1-1.0.2.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.939] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "framework-neoforge-1.21.1-0.13.11.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.941] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "geckolib-neoforge-1.21.1-4.9.2.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.943] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "glaidens_audio_compat-1.0.0.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
